0,cnName,name,rarity,fullImgUrl,type,race,cost
380,幽灵战马,Ghostly Charger,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GIL_545_zhCN_GhostlyCharger.png,minion,beast,5
381,神圣愤怒,Holy Wrath,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_365_zhCN_HolyWrath.png,spell,,5
382,亡者归来,Anyfin Can Happen,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__LOE_026_zhCN_AnyfinCanHappen.png,spell,,10
383,污手街惩罚者,Grimestreet Enforcer,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CFM_639_zhCN_GrimestreetEnforcer.png,minion,,5
384,审判,Sacred Trial,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__LOE_027_zhCN_SacredTrial.png,spell,,1
385,战斗号角,Call to Arms,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__LOOT_093_zhCN_CalltoArms.png,spell,,4
386,迷失丛林,Lost in the Jungle,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__UNG_960_zhCN_LostintheJungle.png,spell,,1
387,咆哮的指挥官,Howling Commander,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__ICC_801_zhCN_HowlingCommander.png,minion,,3
388,海象人龟骑士,Tuskarr Jouster,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__AT_104_zhCN_TuskarrJouster.png,minion,,5
389,污手街供货商,Grimestreet Outfitter,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CFM_753_zhCN_GrimestreetOutfitter.png,minion,,2
390,责难,Rebuke,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GIL_203_zhCN_Rebuke.png,spell,,2
391,水晶雄狮,Crystal Lion,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__LOOT_313_zhCN_CrystalLion.png,minion,,6
392,英勇圣印,Seal of Champions,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__AT_074_zhCN_SealofChampions.png,spell,,3
393,光之悲恸,Light's Sorrow,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__ICC_071_zhCN_LightsSorrow.png,weapon,,4
394,象牙骑士,Ivory Knight,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__KAR_057_zhCN_IvoryKnight.png,minion,,6
395,奥达曼守护者,Keeper of Uldaman,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__LOE_017_zhCN_KeeperofUldaman.png,minion,,4
396,忏悔,Repentance,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_379_zhCN_Repentance.png,spell,,1
397,崇高牺牲,Noble Sacrifice,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_130_zhCN_NobleSacrifice.png,spell,,1
398,力量祝福,Blessing of Might,normal,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CS2_087_zhCN_BlessingofMight.png,spell,,1
399,浴火者伯瓦尔,Bolva,legendary,http://hearthstone.nos.netease.com/1/hscards/PALADIN__ICC_858_zhCN_BolvarFireblood.png,minion,,5
400,风驰电掣,Smuggler's Run,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CFM_305_zhCN_SmugglersRun.png,spell,,1
401,战马训练师,Warhorse Trainer,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__AT_075_zhCN_WarhorseTrainer.png,minion,,3
402,奥尔多卫士,Aldor Peacekeeper,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_382_zhCN_AldorPeacekeeper.png,minion,,3
403,圣光楷模,Paragon of Light,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GIL_685_zhCN_ParagonofLight.png,minion,,3
404,钴制卫士,Cobalt Guardian,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GVG_062_zhCN_CobaltGuardian.png,minion,meths,5
405,伯瓦尔·弗塔根,Bolvar Fordragon,legendary,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GVG_063_zhCN_BolvarFordragon.png,minion,,5
406,白银之枪,Argent Lance,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__AT_077_zhCN_ArgentLance.png,weapon,,2
407,智慧祝福,Blessing of Wisdom,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_363_zhCN_BlessingofWisdom.png,spell,,1
408,寒刃勇士,Chillblade Champion,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__ICC_820_zhCN_ChillbladeChampion.png,minion,,4
409,纯洁者耶德瑞克,Eadric the Pure,legendary,http://hearthstone.nos.netease.com/1/hscards/PALADIN__AT_081_zhCN_EadricthePure.png,minion,,7
410,神秘挑战者,Mysterious Challenger,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__AT_079_zhCN_MysteriousChallenger.png,minion,,6
411,复仇,Avenge,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__FP1_020_zhCN_Avenge.png,spell,,1
412,光明圣印,Seal of Light,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GVG_057_zhCN_SealofLight.png,spell,,2
413,警钟哨卫,Bellringer Sentry,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GIL_634_zhCN_BellringerSentry.png,minion,,4
414,齿轮光锤,Coghammer,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GVG_059_zhCN_Coghammer.png,weapon,,3
415,战术撤离,Getaway Kodo,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CFM_800_zhCN_GetawayKodo.png,spell,,1
416,护盾机器人,Shielded Minibot,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GVG_058_zhCN_ShieldedMinibot.png,minion,meths,2
417,作战动员,Muster for Battle,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GVG_061_zhCN_MusterforBattle.png,spell,,3
418,军需官,Quartermaster,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GVG_060_zhCN_Quartermaster.png,minion,,5
419,黑色卫士,Blackguard,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__ICC_245_zhCN_Blackguard.png,minion,,6
420,未鉴定的重槌,Unidentified Maul,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__LOOT_286_zhCN_UnidentifiedMaul.png,weapon,,3
421,复仇之怒,Avenging Wrath,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_384_zhCN_AvengingWrath.png,spell,,6
422,殊死一搏,Desperate Stand,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__ICC_244_zhCN_DesperateStand.png,spell,,2
423,愤怒之锤,Hammer of Wrath,normal,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CS2_094_zhCN_HammerofWrath.png,spell,,4
424,谦逊,Humility,normal,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_360_zhCN_Humility.png,spell,,1
425,燃鬃·自走炮,Wickerflame Burnbristle,legendary,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CFM_815_zhCN_WickerflameBurnbristle.png,minion,,3
426,生而平等,Equality,rare,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_619_zhCN_Equality.png,spell,,2
427,三教九流,Small-Time Recruits,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CFM_905_zhCN_SmallTimeRecruits.png,spell,,3
428,以眼还眼,Eye for an Eye,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_132_zhCN_EyeforanEye.png,spell,,1
429,银色保卫者,Argent Protector,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_362_zhCN_ArgentProtector.png,minion,,2
430,邪鳍审判者,Vilefin Inquisitor,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__OG_006_zhCN_VilefinInquisitor.png,minion,murloc,1
431,海象人执法官,Meanstreet Marshal,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__CFM_759_zhCN_MeanstreetMarshal.png,minion,,1
432,教堂石像兽,Cathedral Gargoyle,epic,http://hearthstone.nos.netease.com/1/hscards/PALADIN__GIL_635_zhCN_CathedralGargoyle.png,minion,,2
433,光耀之主拉格纳罗斯,Ragnaro,legendary,http://hearthstone.nos.netease.com/1/hscards/PALADIN__OG_229_zhCN_RagnarosLightlord.png,minion,elemental,8
434,救赎,Redemption,common,http://hearthstone.nos.netease.com/1/hscards/PALADIN__EX1_136_zhCN_Redemption.png,spell,,1
435,海潮涌动,Tidal Surge,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_817_zhCN_TidalSurge.png,spell,,4
436,连环爆裂,Crackle,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GVG_038_zhCN_Crackle.png,spell,,2
437,神奇四鱼,Call in the Finishers,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_310_zhCN_CallintheFinishers.png,spell,,4
438,治疗之雨,Healing Rain,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_373_zhCN_HealingRain.png,spell,,3
439,活力图腾,Vitality Totem,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GVG_039_zhCN_VitalityTotem.png,minion,totem,2
440,动力战锤,Powermace,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GVG_036_zhCN_Powermace.png,weapon,,3
441,不稳定的异变,Unstable Evolution,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_504_zhCN_UnstableEvolution.png,spell,,1
442,自动漩涡打击装置,Whirling Zap-o-matic,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GVG_037_zhCN_WhirlingZapomatic.png,minion,meths,2
443,火舌图腾,Flametongue Totem,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_565_zhCN_FlametongueTotem.png,minion,totem,2
444,符文之矛,The Runespear,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_506_zhCN_TheRunespear.png,weapon,,8
445,熔岩震击,Lava Shock,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__BRM_011_zhCN_LavaShock.png,spell,,2
446,鱼人恩典,Everyfin is Awesome,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOE_113_zhCN_EveryfinisAwesome.png,spell,,7
447,荒蛮之主卡利莫斯,Kalimo,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_211_zhCN_KalimosPrimalLord.png,minion,elemental,8
448,温泉守卫,Hot Spring Guardian,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_938_zhCN_HotSpringGuardian.png,minion,elemental,3
449,低温静滞,Cryostasis,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_056_zhCN_Cryostasis.png,spell,,2
450,阴燃电鳗,Murkspark Eel,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_530_zhCN_MurksparkEel.png,minion,beast,2
451,锦鱼人水语者,Jinyu Waterspeaker,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_061_zhCN_JinyuWaterspeaker.png,minion,,4
452,死亡先知萨尔,Thral,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_481_zhCN_ThrallDeathseer.png,,,5
453,女巫的学徒,Witch's Apprentice,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_531_zhCN_WitchsApprentice.png,minion,beast,1
454,耐普图隆,Neptulon,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GVG_042_zhCN_Neptulon.png,minion,elemental,7
455,先到先得,Finders Keepers,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_313_zhCN_FindersKeepers.png,spell,,1
456,冷冻鱼人,Brrrloc,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_058_zhCN_Brrrloc.png,minion,murloc,2
457,火焰驱逐者,Fireguard Destroyer,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__BRM_012_zhCN_FireguardDestroyer.png,minion,elemental,4
458,青玉酋长,Jade Chieftain,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_312_zhCN_JadeChieftain.png,minion,,7
459,邪恶的巫医,Wicked Witchdoctor,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__KAR_021_zhCN_WickedWitchdoctor.png,minion,,4
460,玉莲帮幻术师,Lotus Illusionist,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_697_zhCN_LotusIllusionist.png,minion,,4
461,衰变,Devolve,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_696_zhCN_Devolve.png,spell,,2
462,先祖之魂,Ancestral Spirit,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_038_zhCN_AncestralSpirit.png,spell,,2
463,风领主奥拉基尔,Al'Akir the Windlord,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__NEW1_010_zhCN_AlAkirtheWindlord.png,minion,elemental,8
464,元素毁灭,Elemental Destruction,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_051_zhCN_ElementalDestruction.png,spell,,3
465,风语者,Windspeaker,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_587_zhCN_Windspeaker.png,minion,,4
466,法力之潮图腾,Mana Tide Totem,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_575_zhCN_ManaTideTotem.png,minion,totem,3
467,雷暴术,Stormcrack,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_206_zhCN_Stormcrack.png,spell,,2
468,先祖召唤,Ancestor's Call,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GVG_029_zhCN_AncestorsCall.png,spell,,4
469,升腾者海纳泽尔,Hallazeal the Ascended,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_209_zhCN_HallazealtheAscended.png,minion,elemental,5
470,图腾啃食者,Totem Cruncher,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_583_zhCN_TotemCruncher.png,minion,beast,4
471,闪电风暴,Lightning Storm,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_259_zhCN_LightningStorm.png,spell,,3
472,灵魂回响,Spirit Echo,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_956_zhCN_SpiritEcho.png,spell,,3
473,大漩涡传送门,Maelstrom Portal,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__KAR_073_zhCN_MaelstromPortal.png,spell,,2
474,炽焰祈咒,Blazing Invocation,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_836_zhCN_BlazingInvocation.png,spell,,1
475,视界术,Far Sight,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_053_zhCN_FarSight.png,spell,,3
476,白眼大侠,White Eyes,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_324_zhCN_WhiteEyes.png,minion,,5
477,投火无面者,Flamewreathed Faceless,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_024_zhCN_FlamewreathedFaceless.png,minion,,4
478,青玉之爪,Jade Claws,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_717_zhCN_JadeClaws.png,weapon,,2
479,火元素,Fire Elemental,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_042_zhCN_FireElemental.png,minion,elemental,6
480,原始融合,Primal Fusion,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_023_zhCN_PrimalFusion.png,spell,,1
481,深渊魔物,Thing from Below,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_028_zhCN_ThingfromBelow.png,minion,,6
482,永恒哨卫,Eternal Sentinel,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_026_zhCN_EternalSentinel.png,minion,,2
483,异变,Evolve,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_027_zhCN_Evolve.png,spell,,1
484,女巫哈加莎,Hagatha the Witch,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_504_zhCN_HagathatheWitch.png,,,8
485,叉状闪电,Forked Lightning,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_251_zhCN_ForkedLightning.png,spell,,1
486,空气元素,Air Elemental,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_019_zhCN_AirElemental.png,minion,elemental,1
487,尘魔,Dust Devil,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_243_zhCN_DustDevil.png,minion,elemental,1
488,火山喷发,Volcano,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_025_zhCN_Volcano.png,spell,,5
489,莫拉比,Moorabi,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_289_zhCN_Moorabi.png,minion,,6
490,风剪唤风者,Windshear Stormcaller,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_518_zhCN_WindshearStormcaller.png,minion,,5
491,沙德沃克,Shudderwock,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_820_zhCN_Shudderwock.png,minion,,9
492,雪崩,Avalanche,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_078_zhCN_Avalanche.png,spell,,4
493,塑沼者,Bogshaper,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_807_zhCN_Bogshaper.png,minion,elemental,7
494,异变之主,Master of Evolution,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_328_zhCN_MasterofEvolution.png,minion,,4
495,大地之力,Earthen Might,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_586_zhCN_EarthenMight.png,spell,,2
496,闪电箭,Lightning Bolt,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_238_zhCN_LightningBolt.png,spell,,1
497,图腾之力,Totemic Might,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_244_zhCN_TotemicMight.png,spell,,0
498,雷霆崖勇士,Thunder Bluff Valiant,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_049_zhCN_ThunderBluffValiant.png,minion,,5
499,灌魔之锤,Charged Hammer,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_050_zhCN_ChargedHammer.png,weapon,,4
500,无羁元素,Unbound Elemental,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_258_zhCN_UnboundElemental.png,minion,elemental,3
501,唤雾者伊戈瓦尔,The Mistcaller,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_054_zhCN_TheMistcaller.png,minion,,6
502,治疗波,Healing Wave,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_048_zhCN_HealingWave.png,spell,,3
503,坑道穴居人,Tunnel Trogg,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOE_018_zhCN_TunnelTrogg.png,minion,,1
504,德莱尼图腾师,Draenei Totemcarver,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_047_zhCN_DraeneiTotemcarver.png,minion,,4
505,冰霜震击,Frost Shock,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_037_zhCN_FrostShock.png,spell,,1
506,图腾魔像,Totem Golem,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_052_zhCN_TotemGolem.png,minion,totem,2
507,顽石元素,Rumbling Elemental,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOE_016_zhCN_RumblingElemental.png,minion,elemental,4
508,青玉闪电,Jade Lightning,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CFM_707_zhCN_JadeLightning.png,spell,,4
509,石化武器,Rockbiter Weapon,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_045_zhCN_RockbiterWeapon.png,spell,,2
510,土元素,Earth Elemental,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_250_zhCN_EarthElemental.png,minion,elemental,5
511,海象人图腾师,Tuskarr Totemic,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_046_zhCN_TuskarrTotemic.png,minion,,3
512,暮光神锤,Hammer of Twilight,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__OG_031_zhCN_HammerofTwilight.png,weapon,,5
513,野性狼魂,Feral Spirit,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_248_zhCN_FeralSpirit.png,spell,,3
514,低语元素,Murmuring Elemental,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_517_zhCN_MurmuringElemental.png,minion,elemental,2
515,先祖知识,Ancestral Knowledge,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__AT_053_zhCN_AncestralKnowledge.png,spell,,2
516,冰钓术,Ice Fishing,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_089_zhCN_IceFishing.png,spell,,2
517,粉碎之手,Crushing Hand,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_060_zhCN_CrushingHand.png,spell,,2
518,妖术,Hex,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_246_zhCN_Hex.png,spell,,4
519,巫毒妖术师,Voodoo Hexxer,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_088_zhCN_VoodooHexxer.png,minion,,5
520,熔岩爆裂,Lava Burst,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_241_zhCN_LavaBurst.png,spell,,3
521,砂槌萨满祭司,Dunemaul Shaman,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GVG_066_zhCN_DunemaulShaman.png,minion,,4
522,大地震击,Earth Shock,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_245_zhCN_EarthShock.png,spell,,1
523,雷铸战斧,Stormforged Axe,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_247_zhCN_StormforgedAxe.png,weapon,,2
524,鱼人总动员,Unite the Murlocs,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_942_zhCN_UnitetheMurlocs.png,spell,,1
525,转生,Reincarnate,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__FP1_025_zhCN_Reincarnate.png,spell,,2
526,雪怒巨人,Snowfury Giant,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_090_zhCN_SnowfuryGiant.png,minion,elemental,11
527,狗头人隐士,Kobold Hermit,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_062_zhCN_KoboldHermit.png,minion,,2
528,蛮鱼图腾,Primalfin Totem,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_201_zhCN_PrimalfinTotem.png,minion,totem,2
529,火羽先锋,Fire Plume Harbinger,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_202_zhCN_FirePlumeHarbinger.png,minion,elemental,2
530,嗜血,Bloodlust,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_046_zhCN_Bloodlust.png,spell,,5
531,达卡莱防御者,Drakkari Defender,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_081_zhCN_DrakkariDefender.png,minion,,3
532,破冰斧,Ice Breaker,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__ICC_236_zhCN_IceBreaker.png,weapon,,3
533,冥光鱼人,Ghost Light Angler,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_678_zhCN_GhostLightAngler.png,minion,murloc,2
534,小型法术蓝宝石,Lesser Sapphire Spellstone,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_064_zhCN_LesserSapphireSpellstone.png,spell,,7
535,先祖治疗,Ancestral Healing,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_041_zhCN_AncestralHealing.png,spell,,0
536,幽灵之爪,Spirit Claws,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__KAR_063_zhCN_SpiritClaws.png,weapon,,2
537,原始护身符,Primal Talismans,rare,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_344_zhCN_PrimalTalismans.png,spell,,3
538,毁灭之锤,Doomhammer,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__EX1_567_zhCN_Doomhammer.png,weapon,,5
539,撼世者格朗勃尔,Grumbl,legendary,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__LOOT_358_zhCN_GrumbleWorldshaker.png,minion,elemental,6
540,岩石哨兵,Stone Sentinel,epic,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__UNG_208_zhCN_StoneSentinel.png,minion,elemental,7
541,风怒,Windfury,normal,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__CS2_039_zhCN_Windfury.png,spell,,2
542,静电震击,Zap!,common,http://hearthstone.nos.netease.com/1/hscards/SHAMAN__GIL_600_zhCN_Zap.png,spell,,0
543,无证药剂师,Unlicensed Apothecary,epic,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__CFM_900_zhCN_UnlicensedApothecary.png,minion,demon,3
544,烈焰小鬼,Flame Imp,common,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__EX1_319_zhCN_FlameImp.png,minion,demon,1
545,死亡缠绕,Mortal Coil,normal,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__EX1_302_zhCN_MortalCoil.png,spell,,1
546,小鬼首领,Imp Gang Boss,common,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__BRM_006_zhCN_ImpGangBoss.png,minion,demon,3
547,暗色炸弹,Darkbomb,common,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__GVG_015_zhCN_Darkbomb.png,spell,,2
548,灵魂虹吸,Siphon Soul,rare,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__EX1_309_zhCN_SiphonSoul.png,spell,,6
549,高弗雷勋爵,Lord Godfrey,legendary,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__GIL_825_zhCN_LordGodfrey.png,minion,,7
550,镀银魔像,Silverware Golem,rare,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__KAR_205_zhCN_SilverwareGolem.png,minion,,3
551,侏儒吸血鬼,Gnomeferatu,epic,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__ICC_407_zhCN_Gnomeferatu.png,minion,,2
552,拉卡利献祭,Lakkari Sacrifice,legendary,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__UNG_829_zhCN_LakkariSacrifice.png,spell,,1
553,虚空领主,Voidlord,epic,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__LOOT_368_zhCN_Voidlord.png,minion,demon,9
554,小鬼爆破,Imp-losion,rare,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__GVG_045_zhCN_Implosion.png,spell,,4
555,附灵术,Kara Kazham!,common,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__KAR_025_zhCN_KaraKazham.png,spell,,5
556,末日灾祸,Bane of Doom,epic,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__EX1_320_zhCN_BaneofDoom.png,spell,,5
557,海魔钉刺者,Seadevil Stinger,rare,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__CFM_699_zhCN_SeadevilStinger.png,minion,murloc,4
558,亵渎,Defile,rare,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__ICC_041_zhCN_Defile.png,spell,,2
559,夜色镇图书管理员,Darkshire Librarian,rare,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__OG_109_zhCN_DarkshireLibrarian.png,minion,,2
560,鲜血掠夺者古尔丹,Bloodreaver Gul'dan,legendary,http://hearthstone.nos.netease.com/1/hscards/WARLOCK__ICC_831_zhCN_BloodreaverGuldan.png,,,10
